viersteller;vierstellername;Anzahl BA;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 Jahre und älter;Ant00J;Ant0105J;Ant0510J;Ant1015J;Ant1520J;Ant2025J;Ant2530J;Ant3035J;Ant3540J;Ant4045J;Ant4550J;Ant5055J;Ant5560J;Ant6065J;Ant6570J;Ant7075J;Ant7580J;Ant8085J;Ant8590J;Ant90ffJ
5-570;Endoskopische Entfernung von Steinen, Fremdkörpern und Tamponaden der Harnblase;2107;0;0;1;1;0;8;6;6;19;20;46;77;134;178;228;379;443;294;204;63;0,00;0,00;0,0005;0,0005;0,00;0,0038;0,0028;0,0028;0,009;0,0095;0,0218;0,0365;0,0636;0,0845;0,1082;0,1799;0,2103;0,1395;0,0968;0,0299
5-571;Zystotomie [Sectio alta];84;0;0;0;0;0;0;1;2;0;0;3;2;2;7;11;17;19;11;6;3;0,00;0,00;0,00;0,00;0,00;0,00;0,0119;0,0238;0,00;0,00;0,0357;0,0238;0,0238;0,0833;0,131;0,2024;0,2262;0,131;0,0714;0,0357
5-572;Zystostomie;3672;2;4;5;2;3;8;13;10;26;45;86;150;207;319;344;600;706;563;405;174;0,0005;0,0011;0,0014;0,0005;0,0008;0,0022;0,0035;0,0027;0,0071;0,0123;0,0234;0,0408;0,0564;0,0869;0,0937;0,1634;0,1923;0,1533;0,1103;0,0474
5-573;Transurethrale Inzision, Exzision, Destruktion und Resektion von (erkranktem) Gewebe der Harnblase;11906;0;0;1;0;11;11;25;34;54;118;332;576;847;1240;1357;2276;2452;1514;837;221;0,00;0,00;0,0001;0,00;0,0009;0,0009;0,0021;0,0029;0,0045;0,0099;0,0279;0,0484;0,0711;0,1041;0,114;0,1912;0,2059;0,1272;0,0703;0,0186
5-574;Offen chirurgische und laparoskopische Exzision und Destruktion von (erkranktem) Gewebe der Harnblase;154;0;0;1;0;0;7;21;43;42;13;4;4;1;0;3;7;2;1;4;1;0,00;0,00;0,0065;0,00;0,00;0,0455;0,1364;0,2792;0,2727;0,0844;0,026;0,026;0,0065;0,00;0,0195;0,0455;0,013;0,0065;0,026;0,0065
5-575;Partielle Harnblasenresektion;38;0;0;0;0;0;0;0;0;0;1;2;2;6;4;7;4;2;8;2;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0263;0,0526;0,0526;0,1579;0,1053;0,1842;0,1053;0,0526;0,2105;0,0526;0,00
5-576;Zystektomie;96;0;0;0;0;0;0;0;0;0;0;5;5;7;12;13;23;14;11;6;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0521;0,0521;0,0729;0,125;0,1354;0,2396;0,1458;0,1146;0,0625;0,00
5-577;Ersatz der Harnblase;38;0;0;0;0;0;0;0;0;0;0;3;4;3;6;5;8;5;2;2;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0789;0,1053;0,0789;0,1579;0,1316;0,2105;0,1316;0,0526;0,0526;0,00
5-578;Andere plastische Rekonstruktion der Harnblase;156;0;0;0;0;0;4;8;12;22;17;26;13;7;8;12;12;8;4;1;2;0,00;0,00;0,00;0,00;0,00;0,0256;0,0513;0,0769;0,141;0,109;0,1667;0,0833;0,0449;0,0513;0,0769;0,0769;0,0513;0,0256;0,0064;0,0128
5-579;Andere Operationen an der Harnblase;958;0;0;0;1;4;5;10;13;16;19;59;70;62;85;96;165;162;135;44;12;0,00;0,00;0,00;0,001;0,0042;0,0052;0,0104;0,0136;0,0167;0,0198;0,0616;0,0731;0,0647;0,0887;0,1002;0,1722;0,1691;0,1409;0,0459;0,0125
5-580;Offen chirurgische Urethrotomie und Urethrostomie;13;0;0;0;0;0;0;0;1;2;0;0;0;0;2;2;0;2;2;2;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0769;0,1538;0,00;0,00;0,00;0,00;0,1538;0,1538;0,00;0,1538;0,1538;0,1538;0,00
5-581;Plastische Meatotomie der Urethra;564;1;5;11;2;6;8;13;11;20;17;43;35;57;63;55;78;86;26;21;6;0,0018;0,0089;0,0195;0,0035;0,0106;0,0142;0,023;0,0195;0,0355;0,0301;0,0762;0,0621;0,1011;0,1117;0,0975;0,1383;0,1525;0,0461;0,0372;0,0106
5-582;Exzision, Destruktion und Resektion von (erkranktem) Gewebe der Urethra;544;2;0;10;0;6;9;7;10;11;9;24;27;28;57;61;86;89;59;36;13;0,0037;0,00;0,0184;0,00;0,011;0,0165;0,0129;0,0184;0,0202;0,0165;0,0441;0,0496;0,0515;0,1048;0,1121;0,1581;0,1636;0,1085;0,0662;0,0239
5-583;Urethrektomie als selbständiger Eingriff;10;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;1;2;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,10;0,10;0,10;0,40;0,10;0,20;0,00
5-584;Rekonstruktion der Urethra;95;2;1;1;3;2;5;3;1;2;6;11;12;10;8;5;11;6;6;0;0;0,0211;0,0105;0,0105;0,0316;0,0211;0,0526;0,0316;0,0105;0,0211;0,0632;0,1158;0,1263;0,1053;0,0842;0,0526;0,1158;0,0632;0,0632;0,00;0,00
5-585;Transurethrale Inzision von (erkranktem) Gewebe der Urethra;4761;0;1;13;11;36;53;60;57;69;93;198;261;373;479;512;831;883;502;269;60;0,00;0,0002;0,0027;0,0023;0,0076;0,0111;0,0126;0,012;0,0145;0,0195;0,0416;0,0548;0,0783;0,1006;0,1075;0,1745;0,1855;0,1054;0,0565;0,0126
5-589;Andere Operationen an Urethra und periurethralem Gewebe;91;0;3;2;0;2;1;1;2;2;3;5;10;8;13;5;4;18;9;3;0;0,00;0,033;0,022;0,00;0,022;0,011;0,011;0,022;0,022;0,033;0,0549;0,1099;0,0879;0,1429;0,0549;0,044;0,1978;0,0989;0,033;0,00
5-590;Inzision und Exzision von retroperitonealem Gewebe;97;0;0;0;0;0;2;3;3;6;3;3;8;6;9;11;24;13;4;2;0;0,00;0,00;0,00;0,00;0,00;0,0206;0,0309;0,0309;0,0619;0,0309;0,0309;0,0825;0,0619;0,0928;0,1134;0,2474;0,134;0,0412;0,0206;0,00
5-591;Inzision und Exzision von perivesikalem Gewebe;13;0;0;0;0;0;0;1;4;1;2;2;1;0;1;0;0;1;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,0769;0,3077;0,0769;0,1538;0,1538;0,0769;0,00;0,0769;0,00;0,00;0,0769;0,00;0,00;0,00
5-592;Raffung des urethrovesikalen Überganges;47;0;0;0;0;0;1;0;0;1;1;2;9;5;10;6;4;5;2;0;1;0,00;0,00;0,00;0,00;0,00;0,0213;0,00;0,00;0,0213;0,0213;0,0426;0,1915;0,1064;0,2128;0,1277;0,0851;0,1064;0,0426;0,00;0,0213
5-593;Transvaginale Suspensionsoperation [Zügeloperation];1818;0;0;0;0;0;0;3;19;43;139;261;272;211;216;167;199;197;68;19;4;0,00;0,00;0,00;0,00;0,00;0,00;0,0017;0,0105;0,0237;0,0765;0,1436;0,1496;0,1161;0,1188;0,0919;0,1095;0,1084;0,0374;0,0105;0,0022
5-594;Suprapubische (urethrovesikale) Zügeloperation [Schlingenoperation];139;0;0;0;0;0;0;3;4;4;8;15;13;13;11;23;14;21;6;4;0;0,00;0,00;0,00;0,00;0,00;0,00;0,0216;0,0288;0,0288;0,0576;0,1079;0,0935;0,0935;0,0791;0,1655;0,1007;0,1511;0,0432;0,0288;0,00
5-595;Abdominale retropubische und paraurethrale Suspensionsoperation;288;0;0;0;0;0;0;1;3;15;32;75;45;23;22;30;20;14;6;2;0;0,00;0,00;0,00;0,00;0,00;0,00;0,0035;0,0104;0,0521;0,1111;0,2604;0,1563;0,0799;0,0764;0,1042;0,0694;0,0486;0,0208;0,0069;0,00
5-596;Andere Harninkontinenzoperationen;188;0;0;0;0;1;0;0;1;2;7;6;10;16;13;27;48;37;12;8;0;0,00;0,00;0,00;0,00;0,0053;0,00;0,00;0,0053;0,0106;0,0372;0,0319;0,0532;0,0851;0,0691;0,1436;0,2553;0,1968;0,0638;0,0426;0,00
5-597;Eingriffe bei artifiziellem Harnblasensphinkter;24;0;0;0;0;0;0;0;0;0;0;2;2;0;3;4;5;7;1;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0833;0,0833;0,00;0,125;0,1667;0,2083;0,2917;0,0417;0,00;0,00
5-598;Suspensionsoperation [Zügeloperation] bei Harninkontinenz des Mannes;37;0;0;0;0;0;0;0;0;0;1;0;0;2;5;6;11;10;0;2;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,027;0,00;0,00;0,0541;0,1351;0,1622;0,2973;0,2703;0,00;0,0541;0,00
5-599;Andere Operationen am Harntrakt;69;0;0;0;0;0;0;0;1;1;4;6;9;4;7;8;11;14;3;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0145;0,0145;0,058;0,087;0,1304;0,058;0,1014;0,1159;0,1594;0,2029;0,0435;0,0145;0,00
5-600;Inzision der Prostata;65;0;0;0;0;0;0;0;0;1;2;1;7;7;3;11;16;14;1;2;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0154;0,0308;0,0154;0,1077;0,1077;0,0462;0,1692;0,2462;0,2154;0,0154;0,0308;0,00
5-601;Transurethrale Exzision und Destruktion von Prostatagewebe;8441;0;0;0;0;1;2;1;1;10;18;78;222;572;1019;1296;1871;1940;954;395;61;0,00;0,00;0,00;0,00;0,0001;0,0002;0,0001;0,0001;0,0012;0,0021;0,0092;0,0263;0,0678;0,1207;0,1535;0,2217;0,2298;0,113;0,0468;0,0072
5-602;Transrektale und perkutane Destruktion von Prostatagewebe;39;0;0;0;0;0;0;0;0;0;0;0;2;3;4;6;8;12;4;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0513;0,0769;0,1026;0,1538;0,2051;0,3077;0,1026;0,00;0,00
5-603;Exzision und Destruktion von Prostatagewebe;467;0;0;0;0;0;0;1;0;0;0;1;4;23;55;83;124;102;61;12;1;0,00;0,00;0,00;0,00;0,00;0,00;0,0021;0,00;0,00;0,00;0,0021;0,0086;0,0493;0,1178;0,1777;0,2655;0,2184;0,1306;0,0257;0,0021
5-604;Radikale Prostatovesikulektomie;767;0;0;0;0;0;0;0;0;0;0;16;32;115;166;186;197;48;7;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0209;0,0417;0,1499;0,2164;0,2425;0,2568;0,0626;0,0091;0,00;0,00
5-605;Andere Exzision und Destruktion von Prostatagewebe;4;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,00;0,00;0,00;0,00;0,25;0,00;0,00;0,25;0,25;0,00;0,00
5-606;Operationen an den Vesiculae seminales;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
5-607;Inzision und Exzision von periprostatischem Gewebe;12;0;0;0;0;0;0;0;0;2;0;0;1;0;3;2;1;2;1;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,1667;0,00;0,00;0,0833;0,00;0,25;0,1667;0,0833;0,1667;0,0833;0,00;0,00
5-609;Andere Operationen an der Prostata;338;0;1;0;0;0;0;0;0;0;0;2;5;25;30;49;82;77;42;22;3;0,00;0,003;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0059;0,0148;0,074;0,0888;0,145;0,2426;0,2278;0,1243;0,0651;0,0089
5-610;Inzision an Skrotum und Tunica vaginalis testis;162;0;0;0;1;2;9;14;7;9;20;17;13;18;15;7;9;13;5;3;0;0,00;0,00;0,00;0,0062;0,0123;0,0556;0,0864;0,0432;0,0556;0,1235;0,1049;0,0802;0,1111;0,0926;0,0432;0,0556;0,0802;0,0309;0,0185;0,00
5-611;Operation einer Hydrocele testis;1524;28;5;2;7;36;52;25;19;37;64;111;151;162;218;162;184;167;72;20;2;0,0184;0,0033;0,0013;0,0046;0,0236;0,0341;0,0164;0,0125;0,0243;0,042;0,0728;0,0991;0,1063;0,143;0,1063;0,1207;0,1096;0,0472;0,0131;0,0013
5-612;Exzision und Destruktion von erkranktem Skrotumgewebe;162;0;0;0;0;2;6;9;11;12;17;20;24;12;15;11;6;9;6;1;1;0,00;0,00;0,00;0,00;0,0123;0,037;0,0556;0,0679;0,0741;0,1049;0,1235;0,1481;0,0741;0,0926;0,0679;0,037;0,0556;0,037;0,0062;0,0062
5-613;Plastische Rekonstruktion von Skrotum und Tunica vaginalis testis;13;0;0;0;2;0;0;0;0;3;1;0;1;1;2;0;2;0;1;0;0;0,00;0,00;0,00;0,1538;0,00;0,00;0,00;0,00;0,2308;0,0769;0,00;0,0769;0,0769;0,1538;0,00;0,1538;0,00;0,0769;0,00;0,00
5-619;Andere Operationen an Skrotum und Tunica vaginalis testis;12;0;0;0;0;0;0;0;1;0;0;1;2;1;1;0;2;2;2;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0833;0,00;0,00;0,0833;0,1667;0,0833;0,0833;0,00;0,1667;0,1667;0,1667;0,00;0,00
5-620;Inzision des Hodens;13;0;0;0;0;0;0;1;0;1;4;2;1;1;1;2;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,0769;0,00;0,0769;0,3077;0,1538;0,0769;0,0769;0,0769;0,1538;0,00;0,00;0,00;0,00;0,00
5-621;Exzision und Destruktion von erkranktem Gewebe des Hodens;124;0;1;0;5;5;8;15;10;13;8;15;18;9;2;6;3;5;0;1;0;0,00;0,0081;0,00;0,0403;0,0403;0,0645;0,121;0,0806;0,1048;0,0645;0,121;0,1452;0,0726;0,0161;0,0484;0,0242;0,0403;0,00;0,0081;0,00
5-622;Orchidektomie;820;4;3;0;10;21;41;65;80;75;63;82;68;53;31;31;56;75;38;22;2;0,0049;0,0037;0,00;0,0122;0,0256;0,05;0,0793;0,0976;0,0915;0,0768;0,10;0,0829;0,0646;0,0378;0,0378;0,0683;0,0915;0,0463;0,0268;0,0024
5-624;Orchidopexie;466;17;107;86;75;42;27;18;23;8;8;10;8;10;10;4;6;5;2;0;0;0,0365;0,2296;0,1845;0,1609;0,0901;0,0579;0,0386;0,0494;0,0172;0,0172;0,0215;0,0172;0,0215;0,0215;0,0086;0,0129;0,0107;0,0043;0,00;0,00
5-625;Exploration bei Kryptorchismus;16;3;7;3;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0,1875;0,4375;0,1875;0,0625;0,00;0,00;0,00;0,0625;0,00;0,00;0,00;0,00;0,0625;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5-626;Operative Verlagerung eines Abdominalhodens;21;9;7;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4286;0,3333;0,1905;0,00;0,0476;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5-627;Rekonstruktion des Hodens;8;0;0;1;0;0;1;1;1;3;0;1;0;0;0;0;0;0;0;0;0;0,00;0,00;0,125;0,00;0,00;0,125;0,125;0,125;0,375;0,00;0,125;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5-628;Implantation, Wechsel und Entfernung einer Hodenprothese;68;0;0;0;2;6;8;14;9;6;10;5;4;2;1;1;0;0;0;0;0;0,00;0,00;0,00;0,0294;0,0882;0,1176;0,2059;0,1324;0,0882;0,1471;0,0735;0,0588;0,0294;0,0147;0,0147;0,00;0,00;0,00;0,00;0,00
5-629;Andere Operationen am Hoden;149;0;2;4;15;14;20;12;13;6;16;12;13;5;4;2;3;6;1;1;0;0,00;0,0134;0,0268;0,1007;0,094;0,1342;0,0805;0,0872;0,0403;0,1074;0,0805;0,0872;0,0336;0,0268;0,0134;0,0201;0,0403;0,0067;0,0067;0,00
5-630;Operative Behandlung einer Varikozele und einer Hydrocele funiculi spermatici;298;1;1;0;14;50;44;25;21;18;7;15;16;19;17;13;16;13;7;1;0;0,0034;0,0034;0,00;0,047;0,1678;0,1477;0,0839;0,0705;0,0604;0,0235;0,0503;0,0537;0,0638;0,057;0,0436;0,0537;0,0436;0,0235;0,0034;0,00
5-631;Exzision im Bereich der Epididymis;679;2;11;28;52;19;19;19;22;29;35;55;91;65;73;59;44;32;18;6;0;0,0029;0,0162;0,0412;0,0766;0,028;0,028;0,028;0,0324;0,0427;0,0515;0,081;0,134;0,0957;0,1075;0,0869;0,0648;0,0471;0,0265;0,0088;0,00
5-633;Epididymektomie;247;0;0;0;4;2;4;6;7;12;15;25;39;34;22;26;22;20;6;3;0;0,00;0,00;0,00;0,0162;0,0081;0,0162;0,0243;0,0283;0,0486;0,0607;0,1012;0,1579;0,1377;0,0891;0,1053;0,0891;0,081;0,0243;0,0121;0,00
5-634;Rekonstruktion des Funiculus spermaticus;103;0;3;1;28;25;16;4;8;3;7;1;2;1;1;0;1;0;2;0;0;0,00;0,0291;0,0097;0,2718;0,2427;0,1553;0,0388;0,0777;0,0291;0,068;0,0097;0,0194;0,0097;0,0097;0,00;0,0097;0,00;0,0194;0,00;0,00
5-635;Vasotomie des Ductus deferens;15;0;0;0;0;0;0;0;0;0;0;5;3;0;1;2;0;2;1;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3333;0,20;0,00;0,0667;0,1333;0,00;0,1333;0,0667;0,0667;0,00
5-636;Destruktion, Ligatur und Resektion des Ductus deferens;607;0;0;0;0;0;0;1;6;10;21;27;22;46;71;90;128;121;53;10;1;0,00;0,00;0,00;0,00;0,00;0,00;0,0016;0,0099;0,0165;0,0346;0,0445;0,0362;0,0758;0,117;0,1483;0,2109;0,1993;0,0873;0,0165;0,0016
5-637;Rekonstruktion von Ductus deferens und Epididymis;5;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,20;0,20;0,20;0,20;0,00;0,00;0,00;0,00;0,00;0,00
5-639;Andere Operationen an Funiculus spermaticus, Epididymis und Ductus deferens;195;0;2;1;3;7;15;13;9;4;14;23;12;21;10;18;21;15;4;3;0;0,00;0,0103;0,0051;0,0154;0,0359;0,0769;0,0667;0,0462;0,0205;0,0718;0,1179;0,0615;0,1077;0,0513;0,0923;0,1077;0,0769;0,0205;0,0154;0,00
5-640;Operationen am Präputium;1730;38;190;139;53;42;47;35;22;18;26;54;71;74;97;124;146;221;170;121;42;0,022;0,1098;0,0803;0,0306;0,0243;0,0272;0,0202;0,0127;0,0104;0,015;0,0312;0,041;0,0428;0,0561;0,0717;0,0844;0,1277;0,0983;0,0699;0,0243
5-641;Lokale Exzision und Destruktion von erkranktem Gewebe des Penis;135;0;0;0;0;2;12;18;7;6;7;11;7;12;15;10;10;8;7;2;1;0,00;0,00;0,00;0,00;0,0148;0,0889;0,1333;0,0519;0,0444;0,0519;0,0815;0,0519;0,0889;0,1111;0,0741;0,0741;0,0593;0,0519;0,0148;0,0074
5-642;Amputation des Penis;32;0;0;0;0;0;0;0;0;0;0;0;0;3;5;2;4;8;3;7;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0938;0,1563;0,0625;0,125;0,25;0,0938;0,2188;0,00
5-643;Plastische Rekonstruktion des Penis;71;0;4;2;2;2;3;4;3;0;3;8;14;9;8;5;1;2;1;0;0;0,00;0,0563;0,0282;0,0282;0,0282;0,0423;0,0563;0,0423;0,00;0,0423;0,1127;0,1972;0,1268;0,1127;0,0704;0,0141;0,0282;0,0141;0,00;0,00
5-644;Plastische Rekonstruktion bei männlicher Epispadie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5-645;Plastische Rekonstruktion bei männlicher Hypospadie;69;6;37;11;0;0;0;2;0;0;1;4;1;2;0;1;4;0;0;0;0;0,087;0,5362;0,1594;0,00;0,00;0,00;0,029;0,00;0,00;0,0145;0,058;0,0145;0,029;0,00;0,0145;0,058;0,00;0,00;0,00;0,00
5-646;Operationen zur Geschlechtsumwandlung;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
5-649;Andere Operationen am Penis;47;0;0;3;1;3;2;2;0;1;2;0;6;2;5;7;5;6;1;1;0;0,00;0,00;0,0638;0,0213;0,0638;0,0426;0,0426;0,00;0,0213;0,0426;0,00;0,1277;0,0426;0,1064;0,1489;0,1064;0,1277;0,0213;0,0213;0,00
5-650;Inzision des Ovars;464;0;0;0;0;7;39;98;136;90;29;37;18;2;5;2;0;0;0;0;1;0,00;0,00;0,00;0,00;0,0151;0,0841;0,2112;0,2931;0,194;0,0625;0,0797;0,0388;0,0043;0,0108;0,0043;0,00;0,00;0,00;0,00;0,0022
5-651;Lokale Exzision und Destruktion von Ovarialgewebe;3771;0;0;0;27;141;312;528;647;583;600;541;250;51;30;18;22;17;3;0;1;0,00;0,00;0,00;0,0072;0,0374;0,0827;0,14;0,1716;0,1546;0,1591;0,1435;0,0663;0,0135;0,008;0,0048;0,0058;0,0045;0,0008;0,00;0,0003
5-652;Ovariektomie;419;0;1;0;1;19;29;43;43;52;50;44;51;25;19;12;18;7;5;0;0;0,00;0,0024;0,00;0,0024;0,0453;0,0692;0,1026;0,1026;0,1241;0,1193;0,105;0,1217;0,0597;0,0453;0,0286;0,043;0,0167;0,0119;0,00;0,00
5-653;Salpingoovariektomie;2094;0;0;0;1;4;15;21;55;83;206;363;393;273;238;172;141;89;30;8;2;0,00;0,00;0,00;0,0005;0,0019;0,0072;0,01;0,0263;0,0396;0,0984;0,1734;0,1877;0,1304;0,1137;0,0821;0,0673;0,0425;0,0143;0,0038;0,001
5-656;Plastische Rekonstruktion des Ovars;251;0;0;0;0;8;27;40;64;46;31;23;11;0;1;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,0319;0,1076;0,1594;0,255;0,1833;0,1235;0,0916;0,0438;0,00;0,004;0,00;0,00;0,00;0,00;0,00;0,00
5-657;Adhäsiolyse an Ovar und Tuba uterina ohne mikrochirurgische Versorgung;3750;0;0;0;1;37;154;428;599;580;546;603;334;135;107;84;69;53;13;6;1;0,00;0,00;0,00;0,0003;0,0099;0,0411;0,1141;0,1597;0,1547;0,1456;0,1608;0,0891;0,036;0,0285;0,0224;0,0184;0,0141;0,0035;0,0016;0,0003
5-658;Adhäsiolyse an Ovar und Tuba uterina mit mikrochirurgischer Versorgung;199;0;0;0;0;3;8;12;24;35;36;33;23;6;8;1;3;6;0;0;1;0,00;0,00;0,00;0,00;0,0151;0,0402;0,0603;0,1206;0,1759;0,1809;0,1658;0,1156;0,0302;0,0402;0,005;0,0151;0,0302;0,00;0,00;0,005
5-659;Andere Operationen am Ovar;131;0;0;0;2;5;11;15;20;18;15;25;10;3;4;0;0;3;0;0;0;0,00;0,00;0,00;0,0153;0,0382;0,084;0,1145;0,1527;0,1374;0,1145;0,1908;0,0763;0,0229;0,0305;0,00;0,00;0,0229;0,00;0,00;0,00
5-660;Salpingotomie;93;0;0;0;1;4;6;17;29;15;10;7;3;1;0;0;0;0;0;0;0;0,00;0,00;0,00;0,0108;0,043;0,0645;0,1828;0,3118;0,1613;0,1075;0,0753;0,0323;0,0108;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5-661;Salpingektomie;1443;0;0;0;0;3;7;44;101;197;295;414;225;60;46;15;18;15;3;0;0;0,00;0,00;0,00;0,00;0,0021;0,0049;0,0305;0,07;0,1365;0,2044;0,2869;0,1559;0,0416;0,0319;0,0104;0,0125;0,0104;0,0021;0,00;0,00
5-663;Destruktion und Verschluss der Tubae uterinae [Sterilisationsoperation];672;0;0;0;0;0;12;70;207;252;103;23;4;1;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,0179;0,1042;0,308;0,375;0,1533;0,0342;0,006;0,0015;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5-665;Exzision und Destruktion von erkranktem Gewebe der Tuba uterina;240;0;0;0;2;9;7;28;46;57;33;24;23;2;4;0;4;0;1;0;0;0,00;0,00;0,00;0,0083;0,0375;0,0292;0,1167;0,1917;0,2375;0,1375;0,10;0,0958;0,0083;0,0167;0,00;0,0167;0,00;0,0042;0,00;0,00
5-666;Plastische Rekonstruktion der Tuba uterina;117;0;0;0;0;1;3;30;36;31;15;1;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,0085;0,0256;0,2564;0,3077;0,265;0,1282;0,0085;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5-667;Insufflation der Tubae uterinae;1853;0;0;0;0;8;112;411;612;527;162;19;2;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,0043;0,0604;0,2218;0,3303;0,2844;0,0874;0,0103;0,0011;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5-669;Andere Operationen an der Tuba uterina;10;0;0;0;0;1;2;2;1;0;1;0;3;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,10;0,20;0,20;0,10;0,00;0,10;0,00;0,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5-670;Dilatation des Zervikalkanals;410;0;0;0;0;2;17;42;96;75;56;45;28;18;11;3;5;5;4;3;0;0,00;0,00;0,00;0,00;0,0049;0,0415;0,1024;0,2341;0,1829;0,1366;0,1098;0,0683;0,0439;0,0268;0,0073;0,0122;0,0122;0,0098;0,0073;0,00
5-671;Konisation der Cervix uteri;741;0;0;0;0;2;50;142;127;94;82;97;67;28;23;11;10;5;1;2;0;0,00;0,00;0,00;0,00;0,0027;0,0675;0,1916;0,1714;0,1269;0,1107;0,1309;0,0904;0,0378;0,031;0,0148;0,0135;0,0067;0,0013;0,0027;0,00
5-672;Andere Exzision und Destruktion von erkranktem Gewebe der Cervix uteri;186;0;0;0;0;0;5;16;25;28;23;37;25;5;4;3;7;3;1;4;0;0,00;0,00;0,00;0,00;0,00;0,0269;0,086;0,1344;0,1505;0,1237;0,1989;0,1344;0,0269;0,0215;0,0161;0,0376;0,0161;0,0054;0,0215;0,00
5-673;Amputation der Cervix uteri;11;0;0;0;0;0;0;0;0;0;1;3;1;2;0;1;2;1;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0909;0,2727;0,0909;0,1818;0,00;0,0909;0,1818;0,0909;0,00;0,00;0,00
