viersteller;vierstellername;Anzahl HA;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 Jahre und älter;Ant00J;Ant0105J;Ant0510J;Ant1015J;Ant1520J;Ant2025J;Ant2530J;Ant3035J;Ant3540J;Ant4045J;Ant4550J;Ant5055J;Ant5560J;Ant6065J;Ant6570J;Ant7075J;Ant7580J;Ant8085J;Ant8590J;Ant90ffJ
5-315;Rekonstruktion des Larynx;1067;14;22;14;10;7;20;31;24;30;53;72;92;103;133;116;145;112;48;15;6;0,0131;0,0206;0,0131;0,0094;0,0066;0,0187;0,0291;0,0225;0,0281;0,0497;0,0675;0,0862;0,0965;0,1246;0,1087;0,1359;0,105;0,045;0,0141;0,0056
5-316;Rekonstruktion der Trachea;7207;35;70;37;35;70;69;98;92;106;210;471;756;1022;1054;924;969;755;325;94;15;0,0049;0,0097;0,0051;0,0049;0,0097;0,0096;0,0136;0,0128;0,0147;0,0291;0,0654;0,1049;0,1418;0,1462;0,1282;0,1345;0,1048;0,0451;0,013;0,0021
5-319;Andere Operationen an Larynx und Trachea;4749;17;51;16;15;24;43;41;50;51;111;213;512;611;804;659;723;510;212;70;16;0,0036;0,0107;0,0034;0,0032;0,0051;0,0091;0,0086;0,0105;0,0107;0,0234;0,0449;0,1078;0,1287;0,1693;0,1388;0,1522;0,1074;0,0446;0,0147;0,0034
5-320;Exzision und Destruktion von erkranktem Gewebe eines Bronchus;9195;2;4;1;3;21;38;67;75;133;160;395;752;1096;1322;1270;1568;1327;618;301;42;0,0002;0,0004;0,0001;0,0003;0,0023;0,0041;0,0073;0,0082;0,0145;0,0174;0,043;0,0818;0,1192;0,1438;0,1381;0,1705;0,1443;0,0672;0,0327;0,0046
5-321;Andere Exzision und Resektion eines Bronchus (ohne Resektion des Lungenparenchyms);231;1;2;0;1;2;2;4;4;5;4;9;22;31;50;32;34;21;7;0;0;0,0043;0,0087;0,00;0,0043;0,0087;0,0087;0,0173;0,0173;0,0216;0,0173;0,039;0,0952;0,1342;0,2165;0,1385;0,1472;0,0909;0,0303;0,00;0,00
5-322;Atypische Lungenresektion;19449;16;23;34;70;444;591;605;576;493;680;1152;1720;2172;2668;2390;2981;2047;634;135;18;0,0008;0,0012;0,0017;0,0036;0,0228;0,0304;0,0311;0,0296;0,0253;0,035;0,0592;0,0884;0,1117;0,1372;0,1229;0,1533;0,1052;0,0326;0,0069;0,0009
5-323;Segmentresektion und Bisegmentresektion der Lunge;2902;13;12;4;6;26;31;40;50;43;67;120;220;310;426;450;556;360;129;35;4;0,0045;0,0041;0,0014;0,0021;0,009;0,0107;0,0138;0,0172;0,0148;0,0231;0,0414;0,0758;0,1068;0,1468;0,1551;0,1916;0,1241;0,0445;0,0121;0,0014
5-324;Einfache Lobektomie und Bilobektomie der Lunge;9579;25;8;7;7;12;34;38;50;76;113;363;769;1223;1627;1556;1832;1380;391;65;3;0,0026;0,0008;0,0007;0,0007;0,0013;0,0035;0,004;0,0052;0,0079;0,0118;0,0379;0,0803;0,1277;0,1699;0,1624;0,1913;0,1441;0,0408;0,0068;0,0003
5-325;Erweiterte Lobektomie und Bilobektomie der Lunge;2049;1;1;1;0;5;6;10;13;19;37;100;180;280;337;330;393;254;69;11;2;0,0005;0,0005;0,0005;0,00;0,0024;0,0029;0,0049;0,0063;0,0093;0,0181;0,0488;0,0878;0,1367;0,1645;0,1611;0,1918;0,124;0,0337;0,0054;0,001
5-327;Einfache (Pleuro-)Pneum(on)ektomie;418;1;0;0;1;0;1;2;1;2;6;21;52;57;85;61;72;40;13;2;1;0,0024;0,00;0,00;0,0024;0,00;0,0024;0,0048;0,0024;0,0048;0,0144;0,0502;0,1244;0,1364;0,2033;0,1459;0,1722;0,0957;0,0311;0,0048;0,0024
5-328;Erweiterte (Pleuro-)Pneum(on)ektomie;1007;1;0;0;0;2;5;8;9;17;13;53;130;192;191;156;131;78;18;3;0;0,001;0,00;0,00;0,00;0,002;0,005;0,0079;0,0089;0,0169;0,0129;0,0526;0,1291;0,1907;0,1897;0,1549;0,1301;0,0775;0,0179;0,003;0,00
5-329;Andere Exzisionen an Lunge und Bronchus;35;3;0;0;0;1;1;0;1;2;0;2;6;5;5;2;2;2;2;0;1;0,0857;0,00;0,00;0,00;0,0286;0,0286;0,00;0,0286;0,0571;0,00;0,0571;0,1714;0,1429;0,1429;0,0571;0,0571;0,0571;0,0571;0,00;0,0286
5-330;Inzision eines Bronchus;68;0;2;0;0;0;1;1;0;3;2;2;6;8;13;10;7;8;2;3;0;0,00;0,0294;0,00;0,00;0,00;0,0147;0,0147;0,00;0,0441;0,0294;0,0294;0,0882;0,1176;0,1912;0,1471;0,1029;0,1176;0,0294;0,0441;0,00
5-331;Inzision der Lunge;170;1;0;0;2;2;1;1;5;4;5;6;17;16;34;22;30;16;4;4;0;0,0059;0,00;0,00;0,0118;0,0118;0,0059;0,0059;0,0294;0,0235;0,0294;0,0353;0,10;0,0941;0,20;0,1294;0,1765;0,0941;0,0235;0,0235;0,00
5-333;Adhäsiolyse an Lunge und Brustwand;14965;27;26;17;43;178;232;249;259;265;445;797;1252;1570;1992;1886;2599;1931;833;305;59;0,0018;0,0017;0,0011;0,0029;0,0119;0,0155;0,0166;0,0173;0,0177;0,0297;0,0533;0,0837;0,1049;0,1331;0,126;0,1737;0,129;0,0557;0,0204;0,0039
5-334;Rekonstruktion an Lunge und Bronchien;2642;16;4;3;4;26;49;55;62;48;77;150;263;276;334;332;448;314;122;50;9;0,0061;0,0015;0,0011;0,0015;0,0098;0,0185;0,0208;0,0235;0,0182;0,0291;0,0568;0,0995;0,1045;0,1264;0,1257;0,1696;0,1188;0,0462;0,0189;0,0034
5-335;Lungentransplantation;346;0;0;1;1;10;9;16;19;15;19;37;51;69;83;15;1;0;0;0;0;0,00;0,00;0,0029;0,0029;0,0289;0,026;0,0462;0,0549;0,0434;0,0549;0,1069;0,1474;0,1994;0,2399;0,0434;0,0029;0,00;0,00;0,00;0,00
5-339;Andere Operationen an Lunge und Bronchien;6158;9;0;3;5;8;18;30;34;41;90;248;530;896;1138;1107;1133;605;188;65;10;0,0015;0,00;0,0005;0,0008;0,0013;0,0029;0,0049;0,0055;0,0067;0,0146;0,0403;0,0861;0,1455;0,1848;0,1798;0,184;0,0982;0,0305;0,0106;0,0016
5-340;Inzision von Brustwand und Pleura;32359;272;110;81;163;608;669;693;696;692;990;1712;2504;2951;3553;3489;4761;4557;2403;1110;345;0,0084;0,0034;0,0025;0,005;0,0188;0,0207;0,0214;0,0215;0,0214;0,0306;0,0529;0,0774;0,0912;0,1098;0,1078;0,1471;0,1408;0,0743;0,0343;0,0107
5-341;Inzision des Mediastinums;5866;178;34;21;29;74;52;43;63;68;111;176;328;459;632;715;1159;1175;476;64;9;0,0303;0,0058;0,0036;0,0049;0,0126;0,0089;0,0073;0,0107;0,0116;0,0189;0,03;0,0559;0,0782;0,1077;0,1219;0,1976;0,2003;0,0811;0,0109;0,0015
5-342;Exzision und Destruktion von erkranktem Gewebe des Mediastinums;2879;8;10;13;15;47;63;109;77;94;120;181;261;332;355;353;415;308;92;24;2;0,0028;0,0035;0,0045;0,0052;0,0163;0,0219;0,0379;0,0267;0,0327;0,0417;0,0629;0,0907;0,1153;0,1233;0,1226;0,1441;0,107;0,032;0,0083;0,0007
5-343;Exzision und Destruktion von (erkranktem) Gewebe der Brustwand;6675;7;17;21;82;252;170;152;146;190;257;451;609;724;671;690;860;829;393;122;32;0,001;0,0025;0,0031;0,0123;0,0378;0,0255;0,0228;0,0219;0,0285;0,0385;0,0676;0,0912;0,1085;0,1005;0,1034;0,1288;0,1242;0,0589;0,0183;0,0048
5-344;Pleurektomie;18700;3;26;21;29;374;530;554;523;475;631;991;1464;1794;2182;2039;2774;2493;1244;463;90;0,0002;0,0014;0,0011;0,0016;0,02;0,0283;0,0296;0,028;0,0254;0,0337;0,053;0,0783;0,0959;0,1167;0,109;0,1483;0,1333;0,0665;0,0248;0,0048
5-345;Pleurodese [Verödung des Pleuraspaltes];11343;2;4;4;8;100;148;137;152;165;237;410;708;906;1166;1355;1951;1944;1194;590;162;0,0002;0,0004;0,0004;0,0007;0,0088;0,013;0,0121;0,0134;0,0145;0,0209;0,0361;0,0624;0,0799;0,1028;0,1195;0,172;0,1714;0,1053;0,052;0,0143
5-346;Plastische Rekonstruktion der Brustwand;7225;491;69;63;207;494;215;141;120;130;173;291;474;634;692;752;996;818;360;92;13;0,068;0,0096;0,0087;0,0287;0,0684;0,0298;0,0195;0,0166;0,018;0,0239;0,0403;0,0656;0,0878;0,0958;0,1041;0,1379;0,1132;0,0498;0,0127;0,0018
5-347;Operationen am Zwerchfell;4292;65;38;20;24;60;82;95;99;94;166;289;443;452;571;517;602;456;150;58;11;0,0151;0,0089;0,0047;0,0056;0,014;0,0191;0,0221;0,0231;0,0219;0,0387;0,0673;0,1032;0,1053;0,133;0,1205;0,1403;0,1062;0,0349;0,0135;0,0026
5-349;Andere Operationen am Thorax;15193;113;42;65;130;464;369;305;293;293;398;729;1132;1515;1834;1793;2539;2140;809;189;41;0,0074;0,0028;0,0043;0,0086;0,0305;0,0243;0,0201;0,0193;0,0193;0,0262;0,048;0,0745;0,0997;0,1207;0,118;0,1671;0,1409;0,0532;0,0124;0,0027
5-350;Valvulotomie;425;25;10;2;2;5;3;4;2;1;6;5;8;5;12;19;38;73;132;60;13;0,0588;0,0235;0,0047;0,0047;0,0118;0,0071;0,0094;0,0047;0,0024;0,0141;0,0118;0,0188;0,0118;0,0282;0,0447;0,0894;0,1718;0,3106;0,1412;0,0306
5-351;Ersatz von Herzklappen durch Prothese;27324;10;10;22;13;22;46;70;124;173;327;653;1224;1869;2731;3386;6240;7135;2794;448;27;0,0004;0,0004;0,0008;0,0005;0,0008;0,0017;0,0026;0,0045;0,0063;0,012;0,0239;0,0448;0,0684;0,0999;0,1239;0,2284;0,2611;0,1023;0,0164;0,001
5-352;Wechsel von Herzklappenprothesen;1940;8;19;19;25;22;14;27;31;39;48;79;135;129;190;205;373;364;183;29;1;0,0041;0,0098;0,0098;0,0129;0,0113;0,0072;0,0139;0,016;0,0201;0,0247;0,0407;0,0696;0,0665;0,0979;0,1057;0,1923;0,1876;0,0943;0,0149;0,0005
5-353;Valvuloplastik;16165;97;37;15;17;37;70;107;177;232;417;762;1299;1409;1818;2108;3121;3142;1138;158;4;0,006;0,0023;0,0009;0,0011;0,0023;0,0043;0,0066;0,0109;0,0144;0,0258;0,0471;0,0804;0,0872;0,1125;0,1304;0,1931;0,1944;0,0704;0,0098;0,0002
5-354;Andere Operationen an Herzklappen;10901;152;134;67;86;74;67;107;128;182;329;585;910;953;1172;1269;1892;1890;779;119;6;0,0139;0,0123;0,0061;0,0079;0,0068;0,0061;0,0098;0,0117;0,0167;0,0302;0,0537;0,0835;0,0874;0,1075;0,1164;0,1736;0,1734;0,0715;0,0109;0,0006
5-355;Herstellung und Vergrößerung eines Septumdefektes des Herzens;269;199;37;11;7;2;1;0;1;1;2;2;0;1;1;1;3;0;0;0;0;0,7398;0,1375;0,0409;0,026;0,0074;0,0037;0,00;0,0037;0,0037;0,0074;0,0074;0,00;0,0037;0,0037;0,0037;0,0112;0,00;0,00;0,00;0,00
5-356;Plastische Rekonstruktion des Herzseptums bei angeborenen Herzfehlern;4870;1842;469;162;68;66;50;52;54;70;99;164;219;232;280;239;341;341;107;15;0;0,3782;0,0963;0,0333;0,014;0,0136;0,0103;0,0107;0,0111;0,0144;0,0203;0,0337;0,045;0,0476;0,0575;0,0491;0,07;0,07;0,022;0,0031;0,00
5-357;Operationen bei kongenitalen Gefäßanomalien;2191;1793;174;60;24;21;14;6;3;13;13;7;20;9;6;9;9;8;2;0;0;0,8183;0,0794;0,0274;0,011;0,0096;0,0064;0,0027;0,0014;0,0059;0,0059;0,0032;0,0091;0,0041;0,0027;0,0041;0,0041;0,0037;0,0009;0,00;0,00
5-358;Operationen bei kongenitalen Klappenanomalien des Herzens;1814;470;228;138;124;98;62;69;42;47;63;84;86;77;64;53;51;42;14;2;0;0,2591;0,1257;0,0761;0,0684;0,054;0,0342;0,038;0,0232;0,0259;0,0347;0,0463;0,0474;0,0424;0,0353;0,0292;0,0281;0,0232;0,0077;0,0011;0,00
5-359;Andere Operationen am Herzen bei kongenitalen Anomalien;1720;1103;366;85;33;22;11;8;14;9;10;11;11;6;7;10;6;8;0;0;0;0,6413;0,2128;0,0494;0,0192;0,0128;0,0064;0,0047;0,0081;0,0052;0,0058;0,0064;0,0064;0,0035;0,0041;0,0058;0,0035;0,0047;0,00;0,00;0,00
5-35a;Minimalinvasive Operationen an Herzklappen;18610;0;3;11;38;34;35;27;16;26;54;79;186;294;485;778;2073;4549;5564;3535;823;0,00;0,0002;0,0006;0,002;0,0018;0,0019;0,0015;0,0009;0,0014;0,0029;0,0042;0,01;0,0158;0,0261;0,0418;0,1114;0,2444;0,299;0,19;0,0442
5-360;Desobliteration (Endarteriektomie) der Koronararterien;587;1;0;0;0;0;0;0;1;1;5;21;32;65;79;76;142;115;42;7;0;0,0017;0,00;0,00;0,00;0,00;0,00;0,00;0,0017;0,0017;0,0085;0,0358;0,0545;0,1107;0,1346;0,1295;0,2419;0,1959;0,0716;0,0119;0,00
5-361;Anlegen eines aortokoronaren Bypass;79426;0;3;0;1;5;7;5;36;140;536;1961;4143;7343;10414;11516;17788;17905;6555;1014;54;0,00;0,00;0,00;0,00;0,0001;0,0001;0,0001;0,0005;0,0018;0,0067;0,0247;0,0522;0,0925;0,1311;0,145;0,224;0,2254;0,0825;0,0128;0,0007
5-362;Anlegen eines aortokoronaren Bypass durch minimalinvasive Technik;9399;0;0;0;1;0;1;4;8;41;94;270;530;940;1209;1223;1953;2023;903;188;11;0,00;0,00;0,00;0,0001;0,00;0,0001;0,0004;0,0009;0,0044;0,01;0,0287;0,0564;0,10;0,1286;0,1301;0,2078;0,2152;0,0961;0,02;0,0012
5-363;Andere Revaskularisation des Herzens;3038;3;1;0;0;1;1;0;2;12;35;105;237;353;450;458;606;562;186;25;1;0,001;0,0003;0,00;0,00;0,0003;0,0003;0,00;0,0007;0,0039;0,0115;0,0346;0,078;0,1162;0,1481;0,1508;0,1995;0,185;0,0612;0,0082;0,0003
5-364;Anwendung eines mechanischen Anastomosensystems bei Operationen an den Koronargefäßen;874;0;0;0;0;0;0;1;1;3;4;14;37;63;100;121;198;235;81;16;0;0,00;0,00;0,00;0,00;0,00;0,00;0,0011;0,0011;0,0034;0,0046;0,016;0,0423;0,0721;0,1144;0,1384;0,2265;0,2689;0,0927;0,0183;0,00
5-369;Andere Operationen an den Koronargefäßen;560;6;5;2;3;3;5;6;2;8;25;25;42;62;60;63;113;92;31;6;1;0,0107;0,0089;0,0036;0,0054;0,0054;0,0089;0,0107;0,0036;0,0143;0,0446;0,0446;0,075;0,1107;0,1071;0,1125;0,2018;0,1643;0,0554;0,0107;0,0018
5-370;Perikardiotomie und Kardiotomie;5131;77;62;38;38;52;43;60;86;66;119;210;319;458;573;538;924;909;422;116;21;0,015;0,0121;0,0074;0,0074;0,0101;0,0084;0,0117;0,0168;0,0129;0,0232;0,0409;0,0622;0,0893;0,1117;0,1049;0,1801;0,1772;0,0822;0,0226;0,0041
5-371;Chirurgische ablative Maßnahmen bei Tachyarrhythmie;5118;1;0;2;1;1;6;3;14;13;36;93;218;311;517;744;1347;1372;406;32;1;0,0002;0,00;0,0004;0,0002;0,0002;0,0012;0,0006;0,0027;0,0025;0,007;0,0182;0,0426;0,0608;0,101;0,1454;0,2632;0,2681;0,0793;0,0063;0,0002
5-372;Exzision und Destruktion von erkranktem Gewebe des Perikardes und Perikardektomie;2381;143;44;13;6;13;16;26;34;37;58;127;190;235;262;301;369;342;132;29;4;0,0601;0,0185;0,0055;0,0025;0,0055;0,0067;0,0109;0,0143;0,0155;0,0244;0,0533;0,0798;0,0987;0,11;0,1264;0,155;0,1436;0,0554;0,0122;0,0017
5-373;Exzision und Destruktion von erkranktem Gewebe des Herzens;3928;23;17;11;9;9;11;12;14;37;56;115;249;318;417;549;853;865;312;50;1;0,0059;0,0043;0,0028;0,0023;0,0023;0,0028;0,0031;0,0036;0,0094;0,0143;0,0293;0,0634;0,081;0,1062;0,1398;0,2172;0,2202;0,0794;0,0127;0,0003
5-374;Rekonstruktion des Perikardes und des Herzens;2510;182;68;35;18;22;24;28;29;43;49;109;183;236;262;288;332;390;166;38;8;0,0725;0,0271;0,0139;0,0072;0,0088;0,0096;0,0112;0,0116;0,0171;0,0195;0,0434;0,0729;0,094;0,1044;0,1147;0,1323;0,1554;0,0661;0,0151;0,0032
5-375;Herz- und Herz-Lungen-Transplantation;296;5;6;7;7;3;7;9;12;12;24;44;45;47;51;15;2;0;0;0;0;0,0169;0,0203;0,0236;0,0236;0,0101;0,0236;0,0304;0,0405;0,0405;0,0811;0,1486;0,152;0,1588;0,1723;0,0507;0,0068;0,00;0,00;0,00;0,00
5-376;Implantation und Entfernung eines herzunterstützenden Systems, offen chirurgisch;2116;39;22;7;8;12;17;33;36;62;106;130;215;336;319;267;266;152;76;11;2;0,0184;0,0104;0,0033;0,0038;0,0057;0,008;0,0156;0,017;0,0293;0,0501;0,0614;0,1016;0,1588;0,1508;0,1262;0,1257;0,0718;0,0359;0,0052;0,0009
5-377;Implantation eines Herzschrittmachers, Defibrillators und Ereignis-Rekorders;130345;87;61;90;99;312;490;503;639;790;1396;2845;4952;6928;9446;11589;22343;29409;21703;12628;4035;0,0007;0,0005;0,0007;0,0008;0,0024;0,0038;0,0039;0,0049;0,0061;0,0107;0,0218;0,038;0,0532;0,0725;0,0889;0,1714;0,2256;0,1665;0,0969;0,031
5-378;Entfernung, Wechsel und Korrektur eines Herzschrittmachers und Defibrillators;61962;3;29;71;122;148;259;324;326;442;682;1328;2180;3019;4260;5370;9945;13180;10481;6830;2963;0,00;0,0005;0,0011;0,002;0,0024;0,0042;0,0052;0,0053;0,0071;0,011;0,0214;0,0352;0,0487;0,0688;0,0867;0,1605;0,2127;0,1692;0,1102;0,0478
5-379;Andere Operationen an Herz und Perikard;17089;483;419;188;152;144;100;139;152;188;291;499;888;1180;1640;2039;3441;3452;1406;265;23;0,0283;0,0245;0,011;0,0089;0,0084;0,0059;0,0081;0,0089;0,011;0,017;0,0292;0,052;0,0691;0,096;0,1193;0,2014;0,202;0,0823;0,0155;0,0013
5-37a;Minimalinvasive Rekonstruktion des Perikardes und des Herzens;29;0;0;0;0;0;0;1;0;0;2;2;4;3;4;2;6;3;2;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,0345;0,00;0,00;0,069;0,069;0,1379;0,1034;0,1379;0,069;0,2069;0,1034;0,069;0,00;0,00
5-37b;Offen chirurgische Implantation und Entfernung von Kanülen für die Anwendung eines extrakorporalen (herz- und) lungenunterstützenden Systems mit Membranoxygenation;3161;236;36;8;13;13;36;52;65;103;83;156;238;345;336;306;445;355;215;95;25;0,0747;0,0114;0,0025;0,0041;0,0041;0,0114;0,0165;0,0206;0,0326;0,0263;0,0494;0,0753;0,1091;0,1063;0,0968;0,1408;0,1123;0,068;0,0301;0,0079
5-380;Inzision, Embolektomie und Thrombektomie von Blutgefäßen;66717;61;26;41;23;136;203;294;383;481;1068;2258;4111;5892;7458;7113;9702;10165;7461;6020;3821;0,0009;0,0004;0,0006;0,0003;0,002;0,003;0,0044;0,0057;0,0072;0,016;0,0338;0,0616;0,0883;0,1118;0,1066;0,1454;0,1524;0,1118;0,0902;0,0573
5-381;Endarteriektomie;112158;3;1;2;1;10;16;31;61;126;413;1716;5249;10357;14525;15810;23220;21887;11616;5600;1514;0,00;0,00;0,00;0,00;0,0001;0,0001;0,0003;0,0005;0,0011;0,0037;0,0153;0,0468;0,0923;0,1295;0,141;0,207;0,1951;0,1036;0,0499;0,0135
5-382;Resektion von Blutgefäßen mit Reanastomosierung;7688;13;10;13;10;22;34;37;73;69;136;244;428;620;874;1002;1542;1508;748;256;49;0,0017;0,0013;0,0017;0,0013;0,0029;0,0044;0,0048;0,0095;0,009;0,0177;0,0317;0,0557;0,0806;0,1137;0,1303;0,2006;0,1961;0,0973;0,0333;0,0064
5-383;Resektion und Ersatz (Interposition) von (Teilen von) Blutgefäßen;7005;6;11;16;22;45;57;80;90;112;148;316;452;687;925;890;1241;1085;539;231;52;0,0009;0,0016;0,0023;0,0031;0,0064;0,0081;0,0114;0,0128;0,016;0,0211;0,0451;0,0645;0,0981;0,132;0,1271;0,1772;0,1549;0,0769;0,033;0,0074
5-384;Resektion und Ersatz (Interposition) an der Aorta;13638;12;6;3;9;21;38;59;85;158;292;645;1113;1476;1885;1939;2601;2117;889;249;41;0,0009;0,0004;0,0002;0,0007;0,0015;0,0028;0,0043;0,0062;0,0116;0,0214;0,0473;0,0816;0,1082;0,1382;0,1422;0,1907;0,1552;0,0652;0,0183;0,003
5-385;Unterbindung, Exzision und Stripping von Varizen;129435;0;2;12;18;201;924;2526;4474;5832;9391;14499;16000;15494;16308;13551;15477;10296;3195;1039;196;0,00;0,00;0,0001;0,0001;0,0016;0,0071;0,0195;0,0346;0,0451;0,0726;0,112;0,1236;0,1197;0,126;0,1047;0,1196;0,0795;0,0247;0,008;0,0015
5-386;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme;19194;7;12;26;33;66;86;114;153;181;290;657;1252;1890;2480;2369;3143;3231;1909;1000;295;0,0004;0,0006;0,0014;0,0017;0,0034;0,0045;0,0059;0,008;0,0094;0,0151;0,0342;0,0652;0,0985;0,1292;0,1234;0,1637;0,1683;0,0995;0,0521;0,0154
5-387;Ligatur und Teilverschluss der Vena cava;55;0;0;0;0;2;1;3;0;0;2;3;8;4;3;1;13;4;8;3;0;0,00;0,00;0,00;0,00;0,0364;0,0182;0,0545;0,00;0,00;0,0364;0,0545;0,1455;0,0727;0,0545;0,0182;0,2364;0,0727;0,1455;0,0545;0,00
5-388;Naht von Blutgefäßen;28339;44;74;111;123;371;542;586;637;632;833;1318;1852;2344;2851;2865;4243;4338;2724;1394;457;0,0016;0,0026;0,0039;0,0043;0,0131;0,0191;0,0207;0,0225;0,0223;0,0294;0,0465;0,0654;0,0827;0,1006;0,1011;0,1497;0,1531;0,0961;0,0492;0,0161
5-389;Anderer operativer Verschluss an Blutgefäßen;10632;70;61;79;83;173;255;253;277;308;406;576;780;829;1054;944;1447;1408;891;525;213;0,0066;0,0057;0,0074;0,0078;0,0163;0,024;0,0238;0,0261;0,029;0,0382;0,0542;0,0734;0,078;0,0991;0,0888;0,1361;0,1324;0,0838;0,0494;0,02
5-38a;Endovaskuläre Implantation von Stent-Prothesen;15893;3;1;0;3;5;21;21;20;24;69;217;452;991;1647;2080;3552;3699;2029;880;179;0,0002;0,0001;0,00;0,0002;0,0003;0,0013;0,0013;0,0013;0,0015;0,0043;0,0137;0,0284;0,0624;0,1036;0,1309;0,2235;0,2327;0,1277;0,0554;0,0113
5-38b;Endoskopische Entnahme von Blutgefäßen zur Transplantation;3313;0;0;0;0;1;0;0;1;10;18;67;136;316;442;459;721;789;302;48;3;0,00;0,00;0,00;0,00;0,0003;0,00;0,00;0,0003;0,003;0,0054;0,0202;0,0411;0,0954;0,1334;0,1385;0,2176;0,2382;0,0912;0,0145;0,0009
5-38c;Offen chirurgische Implantation von nicht großlumigen ungecoverten Stents;6365;3;1;0;0;2;4;5;8;11;48;144;421;759;981;947;1176;996;500;280;79;0,0005;0,0002;0,00;0,00;0,0003;0,0006;0,0008;0,0013;0,0017;0,0075;0,0226;0,0661;0,1192;0,1541;0,1488;0,1848;0,1565;0,0786;0,044;0,0124
5-38d;Offen chirurgische Implantation von nicht großlumigen gecoverten Stents;2209;0;0;0;0;0;1;2;3;5;16;51;126;246;282;304;432;406;224;91;20;0,00;0,00;0,00;0,00;0,00;0,0005;0,0009;0,0014;0,0023;0,0072;0,0231;0,057;0,1114;0,1277;0,1376;0,1956;0,1838;0,1014;0,0412;0,0091
5-38e;Offen chirurgische Implantation von großlumigen ungecoverten Stents;2293;4;1;0;1;3;3;2;4;6;13;61;144;277;383;316;396;363;185;94;37;0,0017;0,0004;0,00;0,0004;0,0013;0,0013;0,0009;0,0017;0,0026;0,0057;0,0266;0,0628;0,1208;0,167;0,1378;0,1727;0,1583;0,0807;0,041;0,0161
5-38f;Offen chirurgische Angioplastie (Ballon);15120;2;1;2;1;4;11;21;25;55;129;275;834;1468;2040;2061;2823;2697;1510;866;295;0,0001;0,0001;0,0001;0,0001;0,0003;0,0007;0,0014;0,0017;0,0036;0,0085;0,0182;0,0552;0,0971;0,1349;0,1363;0,1867;0,1784;0,0999;0,0573;0,0195
5-38g;Selektive offene intravasale Lyse;855;0;1;0;0;3;3;5;3;7;14;34;50;88;124;94;125;119;84;59;42;0,00;0,0012;0,00;0,00;0,0035;0,0035;0,0058;0,0035;0,0082;0,0164;0,0398;0,0585;0,1029;0,145;0,1099;0,1462;0,1392;0,0982;0,069;0,0491
5-390;Shuntoperationen zwischen großem und kleinem Kreislauf [Links-Rechts-Shunt];675;517;66;16;10;6;0;1;0;1;3;2;4;1;7;5;13;15;4;3;1;0,7659;0,0978;0,0237;0,0148;0,0089;0,00;0,0015;0,00;0,0015;0,0044;0,003;0,0059;0,0015;0,0104;0,0074;0,0193;0,0222;0,0059;0,0044;0,0015
5-391;Anlegen eines intraabdominalen venösen Shuntes;89;0;2;5;0;3;5;2;1;5;8;12;15;7;15;6;0;0;2;0;1;0,00;0,0225;0,0562;0,00;0,0337;0,0562;0,0225;0,0112;0,0562;0,0899;0,1348;0,1685;0,0787;0,1685;0,0674;0,00;0,00;0,0225;0,00;0,0112
5-392;Anlegen eines arteriovenösen Shuntes;20795;0;3;6;15;70;116;212;258;331;592;968;1410;1603;2069;2115;3362;3968;2482;1053;162;0,00;0,0001;0,0003;0,0007;0,0034;0,0056;0,0102;0,0124;0,0159;0,0285;0,0465;0,0678;0,0771;0,0995;0,1017;0,1617;0,1908;0,1194;0,0506;0,0078
5-393;Anlegen eines anderen Shuntes und Bypasses an Blutgefäßen;47689;6;0;4;6;22;45;41;78;126;279;1000;2580;4759;6539;6586;8800;8709;4871;2529;709;0,0001;0,00;0,0001;0,0001;0,0005;0,0009;0,0009;0,0016;0,0026;0,0059;0,021;0,0541;0,0998;0,1371;0,1381;0,1845;0,1826;0,1021;0,053;0,0149
5-394;Revision einer Blutgefäßoperation;48652;95;30;26;19;67;169;301;421;566;960;1850;3216;4868;6072;5887;8186;8226;4873;2252;568;0,002;0,0006;0,0005;0,0004;0,0014;0,0035;0,0062;0,0087;0,0116;0,0197;0,038;0,0661;0,1001;0,1248;0,121;0,1683;0,1691;0,1002;0,0463;0,0117
5-395;Patchplastik an Blutgefäßen;30638;248;74;49;26;46;74;82;128;129;313;740;1749;2957;4019;3947;5554;5246;3096;1554;607;0,0081;0,0024;0,0016;0,0008;0,0015;0,0024;0,0027;0,0042;0,0042;0,0102;0,0242;0,0571;0,0965;0,1312;0,1288;0,1813;0,1712;0,1011;0,0507;0,0198
5-396;Transposition von Blutgefäßen;1512;4;1;0;3;6;5;10;5;10;26;72;113;143;217;210;289;235;108;45;10;0,0026;0,0007;0,00;0,002;0,004;0,0033;0,0066;0,0033;0,0066;0,0172;0,0476;0,0747;0,0946;0,1435;0,1389;0,1911;0,1554;0,0714;0,0298;0,0066
