kategorie;kategoriename;Anzahl HA;VwdMw;stdVwd;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 Jahre und älter;Ant00J;Ant0105J;Ant0510J;Ant1015J;Ant1520J;Ant2025J;Ant2530J;Ant3035J;Ant3540J;Ant4045J;Ant4550J;Ant5055J;Ant5560J;Ant6065J;Ant6570J;Ant7075J;Ant7580J;Ant8085J;Ant8590J;Ant90ffJ
N03;Chronisches nephritisches Syndrom;852;3,6455;6,6694;0;5;4;9;64;24;55;50;39;50;92;90;80;87;63;84;36;17;2;1;0,00;0,0059;0,0047;0,0106;0,0751;0,0282;0,0646;0,0587;0,0458;0,0587;0,108;0,1056;0,0939;0,1021;0,0739;0,0986;0,0423;0,02;0,0023;0,0012
N04;Nephrotisches Syndrom;3881;6,4857;9,105;10;232;215;207;152;124;131;147;151;250;303;320;328;284;261;342;259;105;51;9;0,0026;0,0598;0,0554;0,0533;0,0392;0,032;0,0338;0,0379;0,0389;0,0644;0,0781;0,0825;0,0845;0,0732;0,0673;0,0881;0,0667;0,0271;0,0131;0,0023
N05;Nicht näher bezeichnetes nephritisches Syndrom;1056;4,9744;5,9295;4;59;65;56;63;46;47;38;54;57;77;83;105;69;64;81;53;24;8;3;0,0038;0,0559;0,0616;0,053;0,0597;0,0436;0,0445;0,036;0,0511;0,054;0,0729;0,0786;0,0994;0,0653;0,0606;0,0767;0,0502;0,0227;0,0076;0,0028
N06;Isolierte Proteinurie mit Angabe morphologischer Veränderungen;136;2,5588;3,199;0;0;3;4;4;8;8;6;9;8;12;17;9;13;10;14;8;3;0;0;0,00;0,00;0,0221;0,0294;0,0294;0,0588;0,0588;0,0441;0,0662;0,0588;0,0882;0,125;0,0662;0,0956;0,0735;0,1029;0,0588;0,0221;0,00;0,00
N07;Hereditäre Nephropathie, anderenorts nicht klassifiziert;19;2,4211;2,2929;0;1;1;1;0;2;2;0;3;0;0;4;2;0;0;2;1;0;0;0;0,00;0,0526;0,0526;0,0526;0,00;0,1053;0,1053;0,00;0,1579;0,00;0,00;0,2105;0,1053;0,00;0,00;0,1053;0,0526;0,00;0,00;0,00
N08;Glomeruläre Krankheiten bei anderenorts klassifizierten Krankheiten;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
N10;Akute tubulointerstitielle Nephritis;37063;5,3747;3,8456;4139;2709;1271;758;3790;3787;2518;1814;1466;1393;1627;1597;1387;1363;1232;1746;1928;1323;869;346;0,1117;0,0731;0,0343;0,0205;0,1023;0,1022;0,0679;0,0489;0,0396;0,0376;0,0439;0,0431;0,0374;0,0368;0,0332;0,0471;0,052;0,0357;0,0234;0,0093
N11;Chronische tubulointerstitielle Nephritis;738;8,2168;9,2159;25;17;22;6;22;22;25;29;36;32;43;51;63;57;58;82;80;39;20;9;0,0339;0,023;0,0298;0,0081;0,0298;0,0298;0,0339;0,0393;0,0488;0,0434;0,0583;0,0691;0,0854;0,0772;0,0786;0,1111;0,1084;0,0528;0,0271;0,0122
N12;Tubulointerstitielle Nephritis, nicht als akut oder chronisch bezeichnet;3561;5,3774;4,3715;283;194;117;74;353;365;246;155;164;156;153;189;166;142;140;180;210;134;100;40;0,0795;0,0545;0,0329;0,0208;0,0991;0,1025;0,0691;0,0435;0,0461;0,0438;0,043;0,0531;0,0466;0,0399;0,0393;0,0505;0,059;0,0376;0,0281;0,0112
N13;Obstruktive Uropathie und Refluxuropathie;112447;4,012;4,6608;546;618;440;307;1300;2760;4073;4808;5302;6640;9230;9897;9975;9917;8327;11375;12106;7831;5033;1962;0,0049;0,0055;0,0039;0,0027;0,0116;0,0245;0,0362;0,0428;0,0472;0,0591;0,0821;0,088;0,0887;0,0882;0,0741;0,1012;0,1077;0,0696;0,0448;0,0174
N14;Arzneimittel- und schwermetallinduzierte tubulointerstitielle und tubuläre Krankheitszustände;85;7,7765;7,5425;0;0;1;1;6;3;2;1;3;5;3;9;10;11;6;5;6;7;5;1;0,00;0,00;0,0118;0,0118;0,0706;0,0353;0,0235;0,0118;0,0353;0,0588;0,0353;0,1059;0,1176;0,1294;0,0706;0,0588;0,0706;0,0824;0,0588;0,0118
N15;Sonstige tubulointerstitielle Nierenkrankheiten;1314;13,4368;13,2689;3;7;7;7;36;59;47;46;30;66;69;109;109;108;106;151;163;108;61;22;0,0023;0,0053;0,0053;0,0053;0,0274;0,0449;0,0358;0,035;0,0228;0,0502;0,0525;0,083;0,083;0,0822;0,0807;0,1149;0,124;0,0822;0,0464;0,0167
N16;Tubulointerstitielle Nierenkrankheiten bei anderenorts klassifizierten Krankheiten;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
N17;Akutes Nierenversagen;67306;11,3164;9,7997;14;27;31;50;159;296;324;324;381;604;1134;1875;2696;4092;4826;8977;12821;12533;10654;5488;0,0002;0,0004;0,0005;0,0007;0,0024;0,0044;0,0048;0,0048;0,0057;0,009;0,0168;0,0279;0,0401;0,0608;0,0717;0,1334;0,1905;0,1862;0,1583;0,0815
N18;Chronische Nierenkrankheit;44185;7,672;8,8617;33;106;137;135;205;303;522;608;681;1022;1710;2328;2798;3453;3901;6034;7652;6479;4412;1666;0,0007;0,0024;0,0031;0,0031;0,0046;0,0069;0,0118;0,0138;0,0154;0,0231;0,0387;0,0527;0,0633;0,0781;0,0883;0,1366;0,1732;0,1466;0,0999;0,0377
N19;Nicht näher bezeichnete Niereninsuffizienz;2560;7,4145;6,044;8;7;2;8;29;31;32;29;27;29;68;78;103;164;162;313;443;424;408;195;0,0031;0,0027;0,0008;0,0031;0,0113;0,0121;0,0125;0,0113;0,0105;0,0113;0,0266;0,0305;0,0402;0,0641;0,0633;0,1223;0,173;0,1656;0,1594;0,0762
N20;Nieren- und Ureterstein;104346;2,9676;3,0592;11;79;119;278;1232;3270;5192;6781;7525;9583;12510;12935;11529;10039;6977;6926;5603;2490;997;270;0,0001;0,0008;0,0011;0,0027;0,0118;0,0313;0,0498;0,065;0,0721;0,0918;0,1199;0,124;0,1105;0,0962;0,0669;0,0664;0,0537;0,0239;0,0096;0,0026
N21;Stein in den unteren Harnwegen;3599;4,9744;6,6374;1;11;9;11;26;42;60;67;66;127;165;216;248;360;440;548;578;338;220;66;0,0003;0,0031;0,0025;0,0031;0,0072;0,0117;0,0167;0,0186;0,0183;0,0353;0,0458;0,06;0,0689;0,10;0,1223;0,1523;0,1606;0,0939;0,0611;0,0183
N22;Harnstein bei anderenorts klassifizierten Krankheiten;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
N23;Nicht näher bezeichnete Nierenkolik;9828;2,0433;1,7619;0;0;12;36;285;599;704;788;879;986;1174;1140;938;737;418;473;386;167;71;35;0,00;0,00;0,0012;0,0037;0,029;0,0609;0,0716;0,0802;0,0894;0,1003;0,1195;0,116;0,0954;0,075;0,0425;0,0481;0,0393;0,017;0,0072;0,0036
N25;Krankheiten infolge Schädigung der tubulären Nierenfunktion;715;6,6685;6,5971;21;7;9;4;10;14;26;33;37;62;80;108;92;70;39;49;35;16;2;1;0,0294;0,0098;0,0126;0,0056;0,014;0,0196;0,0364;0,0462;0,0517;0,0867;0,1119;0,151;0,1287;0,0979;0,0545;0,0685;0,049;0,0224;0,0028;0,0014
N26;Schrumpfniere, nicht näher bezeichnet;483;8,6501;6,6884;4;8;8;14;10;19;18;16;21;26;35;47;42;55;36;50;55;11;7;1;0,0083;0,0166;0,0166;0,029;0,0207;0,0393;0,0373;0,0331;0,0435;0,0538;0,0725;0,0973;0,087;0,1139;0,0745;0,1035;0,1139;0,0228;0,0145;0,0021
N27;Kleine Niere unbekannter Ursache;12;5,4167;4,4202;1;1;1;1;2;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0,0833;0,0833;0,0833;0,0833;0,1667;0,00;0,00;0,00;0,00;0,00;0,00;0,0833;0,00;0,0833;0,0833;0,0833;0,0833;0,0833;0,00;0,00
N28;Sonstige Krankheiten der Niere und des Ureters, anderenorts nicht klassifiziert;5374;6,4122;8,0102;75;58;42;36;71;77;92;152;175;270;407;468;519;521;446;690;673;369;182;51;0,014;0,0108;0,0078;0,0067;0,0132;0,0143;0,0171;0,0283;0,0326;0,0502;0,0757;0,0871;0,0966;0,0969;0,083;0,1284;0,1252;0,0687;0,0339;0,0095
N29;Sonstige Krankheiten der Niere und des Ureters bei anderenorts klassifizierten Krankheiten;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
N30;Zystitis;47098;5,8522;5,2416;236;347;390;414;1414;1157;881;701;723;907;1371;1916;2136;2853;3305;5725;7556;6453;5554;3059;0,005;0,0074;0,0083;0,0088;0,03;0,0246;0,0187;0,0149;0,0154;0,0193;0,0291;0,0407;0,0454;0,0606;0,0702;0,1216;0,1604;0,137;0,1179;0,0649
N31;Neuromuskuläre Dysfunktion der Harnblase, anderenorts nicht klassifiziert;6369;3,7375;4,328;22;78;279;192;197;160;179;184;258;312;480;596;458;490;496;656;658;375;222;77;0,0035;0,0122;0,0438;0,0301;0,0309;0,0251;0,0281;0,0289;0,0405;0,049;0,0754;0,0936;0,0719;0,0769;0,0779;0,103;0,1033;0,0589;0,0349;0,0121
N32;Sonstige Krankheiten der Harnblase;16217;6,0685;7,5525;12;27;58;33;46;52;71;97;146;261;442;608;899;1402;1804;2962;3300;2056;1331;610;0,0007;0,0017;0,0036;0,002;0,0028;0,0032;0,0044;0,006;0,009;0,0161;0,0273;0,0375;0,0554;0,0865;0,1112;0,1826;0,2035;0,1268;0,0821;0,0376
N33;Krankheiten der Harnblase bei anderenorts klassifizierten Krankheiten;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
N34;Urethritis und urethrales Syndrom;684;4,9591;5,2603;1;12;17;22;35;47;44;34;43;32;32;58;32;32;29;44;64;52;38;16;0,0015;0,0175;0,0249;0,0322;0,0512;0,0687;0,0643;0,0497;0,0629;0,0468;0,0468;0,0848;0,0468;0,0468;0,0424;0,0643;0,0936;0,076;0,0556;0,0234
N35;Harnröhrenstriktur;11868;4,0632;3,5345;3;57;159;101;149;284;347;371;357;511;669;786;897;1010;1054;1821;1783;938;433;138;0,0003;0,0048;0,0134;0,0085;0,0126;0,0239;0,0292;0,0313;0,0301;0,0431;0,0564;0,0662;0,0756;0,0851;0,0888;0,1534;0,1502;0,079;0,0365;0,0116
N36;Sonstige Krankheiten der Harnröhre;3598;4,3146;5,9357;7;118;63;37;43;70;111;97;91;94;115;150;197;251;274;452;529;438;309;152;0,0019;0,0328;0,0175;0,0103;0,012;0,0195;0,0309;0,027;0,0253;0,0261;0,032;0,0417;0,0548;0,0698;0,0762;0,1256;0,147;0,1217;0,0859;0,0422
N37;Krankheiten der Harnröhre bei anderenorts klassifizierten Krankheiten;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
N39;Sonstige Krankheiten des Harnsystems;134432;6,1389;5,2539;2036;1475;937;951;3175;2689;2073;1800;1936;2937;4700;6041;6331;7685;8694;16220;20988;18575;15925;9264;0,0151;0,011;0,007;0,0071;0,0236;0,02;0,0154;0,0134;0,0144;0,0218;0,035;0,0449;0,0471;0,0572;0,0647;0,1207;0,1561;0,1382;0,1185;0,0689
N40;Prostatahyperplasie;49762;6,2338;4,2584;0;0;0;0;0;1;3;2;20;94;498;1479;3468;5974;7705;11647;11018;5323;2108;422;0,00;0,00;0,00;0,00;0,00;0,00;0,0001;0,00;0,0004;0,0019;0,01;0,0297;0,0697;0,1201;0,1548;0,2341;0,2214;0,107;0,0424;0,0085
N41;Entzündliche Krankheiten der Prostata;6350;5,6721;4,3922;0;0;0;1;9;33;61;89;141;235;440;656;785;860;872;1000;719;287;120;42;0,00;0,00;0,00;0,0002;0,0014;0,0052;0,0096;0,014;0,0222;0,037;0,0693;0,1033;0,1236;0,1354;0,1373;0,1575;0,1132;0,0452;0,0189;0,0066
N42;Sonstige Krankheiten der Prostata;2224;6,795;5,8664;2;0;0;1;4;1;6;11;3;6;23;36;82;136;205;363;531;424;284;106;0,0009;0,00;0,00;0,0004;0,0018;0,0004;0,0027;0,0049;0,0013;0,0027;0,0103;0,0162;0,0369;0,0612;0,0922;0,1632;0,2388;0,1906;0,1277;0,0477
N43;Hydrozele und Spermatozele;10244;2,7969;2,7307;225;352;110;117;273;231;214;212;202;397;707;934;1123;1141;992;1295;1051;497;145;26;0,022;0,0344;0,0107;0,0114;0,0266;0,0225;0,0209;0,0207;0,0197;0,0388;0,069;0,0912;0,1096;0,1114;0,0968;0,1264;0,1026;0,0485;0,0142;0,0025
N44;Hodentorsion und Hydatidentorsion;6855;1,8111;1,702;111;164;797;2424;1552;740;430;269;134;83;61;44;16;8;6;4;5;2;4;1;0,0162;0,0239;0,1163;0,3536;0,2264;0,108;0,0627;0,0392;0,0195;0,0121;0,0089;0,0064;0,0023;0,0012;0,0009;0,0006;0,0007;0,0003;0,0006;0,0001
N45;Orchitis und Epididymitis;13892;5,2964;4,0438;63;143;378;741;444;669;675;612;623;659;918;974;1028;924;958;1303;1395;807;460;118;0,0045;0,0103;0,0272;0,0533;0,032;0,0482;0,0486;0,0441;0,0448;0,0474;0,0661;0,0701;0,074;0,0665;0,069;0,0938;0,1004;0,0581;0,0331;0,0085
N46;Sterilität beim Mann;177;1,2316;0,7131;0;0;0;0;3;5;21;41;49;32;20;6;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,0169;0,0282;0,1186;0,2316;0,2768;0,1808;0,113;0,0339;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
N47;Vorhauthypertrophie, Phimose und Paraphimose;6024;1,9993;2,4008;228;787;764;296;147;107;103;80;73;84;156;219;228;269;291;497;636;513;390;156;0,0378;0,1306;0,1268;0,0491;0,0244;0,0178;0,0171;0,0133;0,0121;0,0139;0,0259;0,0364;0,0378;0,0447;0,0483;0,0825;0,1056;0,0852;0,0647;0,0259
N48;Sonstige Krankheiten des Penis;6238;3,0922;3,5814;63;530;215;87;125;461;638;598;424;383;476;505;423;383;252;241;229;101;79;25;0,0101;0,085;0,0345;0,0139;0,02;0,0739;0,1023;0,0959;0,068;0,0614;0,0763;0,081;0,0678;0,0614;0,0404;0,0386;0,0367;0,0162;0,0127;0,004
N49;Entzündliche Krankheiten der männlichen Genitalorgane, anderenorts nicht klassifiziert;5029;7,2931;11,627;7;32;35;24;53;155;204;315;349;567;612;663;498;409;297;301;247;152;72;37;0,0014;0,0064;0,007;0,0048;0,0105;0,0308;0,0406;0,0626;0,0694;0,1127;0,1217;0,1318;0,099;0,0813;0,0591;0,0599;0,0491;0,0302;0,0143;0,0074
N50;Sonstige Krankheiten der männlichen Genitalorgane;2557;2,9093;3,1807;35;126;136;235;229;181;177;145;125;139;165;163;151;127;95;123;98;65;32;10;0,0137;0,0493;0,0532;0,0919;0,0896;0,0708;0,0692;0,0567;0,0489;0,0544;0,0645;0,0637;0,0591;0,0497;0,0372;0,0481;0,0383;0,0254;0,0125;0,0039
N51;Krankheiten der männlichen Genitalorgane bei anderenorts klassifizierten Krankheiten;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
N60;Gutartige Mammadysplasie [Brustdrüsendysplasie];4406;2,2717;2,6005;0;0;0;8;48;94;112;182;271;435;844;919;406;320;260;250;168;64;22;3;0,00;0,00;0,00;0,0018;0,0109;0,0213;0,0254;0,0413;0,0615;0,0987;0,1916;0,2086;0,0921;0,0726;0,059;0,0567;0,0381;0,0145;0,005;0,0007
N61;Entzündliche Krankheiten der Mamma [Brustdrüse];6843;4,4416;4,9025;61;7;8;138;131;227;419;554;604;767;965;844;547;458;309;293;266;155;68;22;0,0089;0,001;0,0012;0,0202;0,0191;0,0332;0,0612;0,081;0,0883;0,1121;0,141;0,1233;0,0799;0,0669;0,0452;0,0428;0,0389;0,0227;0,0099;0,0032
N62;Hypertrophie der Mamma [Brustdrüse];6781;3,8596;2,5765;2;2;3;77;767;818;526;450;448;547;739;721;561;420;269;230;114;65;18;4;0,0003;0,0003;0,0004;0,0114;0,1131;0,1206;0,0776;0,0664;0,0661;0,0807;0,109;0,1063;0,0827;0,0619;0,0397;0,0339;0,0168;0,0096;0,0027;0,0006
N63;Nicht näher bezeichnete Knoten in der Mamma [Brustdrüse];108;2,00;1,6234;0;0;0;0;0;7;8;6;8;9;12;11;4;8;10;13;6;4;1;1;0,00;0,00;0,00;0,00;0,00;0,0648;0,0741;0,0556;0,0741;0,0833;0,1111;0,1019;0,037;0,0741;0,0926;0,1204;0,0556;0,037;0,0093;0,0093
N64;Sonstige Krankheiten der Mamma [Brustdrüse];2160;3,3694;3,7964;0;4;0;5;48;64;99;109;125;194;259;312;234;200;173;147;111;44;23;9;0,00;0,0019;0,00;0,0023;0,0222;0,0296;0,0458;0,0505;0,0579;0,0898;0,1199;0,1444;0,1083;0,0926;0,0801;0,0681;0,0514;0,0204;0,0106;0,0042
N70;Salpingitis und Oophoritis;12937;5,0218;4,3288;0;0;1;63;1123;2038;1928;1611;1414;1386;1569;1000;327;155;117;91;77;20;12;5;0,00;0,00;0,0001;0,0049;0,0868;0,1575;0,149;0,1245;0,1093;0,1071;0,1213;0,0773;0,0253;0,012;0,009;0,007;0,006;0,0015;0,0009;0,0004
N71;Entzündliche Krankheit des Uterus, ausgenommen der Zervix;2355;4,3962;3,6367;0;0;0;10;120;285;352;304;280;246;187;114;54;42;35;64;90;77;62;33;0,00;0,00;0,00;0,0042;0,051;0,121;0,1495;0,1291;0,1189;0,1045;0,0794;0,0484;0,0229;0,0178;0,0149;0,0272;0,0382;0,0327;0,0263;0,014
N72;Entzündliche Krankheit der Cervix uteri;772;2,75;2,3023;0;0;0;0;27;36;51;60;79;124;126;101;35;34;20;26;23;18;9;3;0,00;0,00;0,00;0,00;0,035;0,0466;0,0661;0,0777;0,1023;0,1606;0,1632;0,1308;0,0453;0,044;0,0259;0,0337;0,0298;0,0233;0,0117;0,0039
N73;Sonstige entzündliche Krankheiten im weiblichen Becken;4403;3,9814;6,344;0;3;4;9;153;371;543;601;647;557;581;348;196;134;74;75;67;26;12;2;0,00;0,0007;0,0009;0,002;0,0347;0,0843;0,1233;0,1365;0,1469;0,1265;0,132;0,079;0,0445;0,0304;0,0168;0,017;0,0152;0,0059;0,0027;0,0005
N74;Entzündung im weiblichen Becken bei anderenorts klassifizierten Krankheiten;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
N75;Krankheiten der Bartholin-Drüsen;2751;1,5958;1,9026;0;0;4;13;101;279;382;413;321;314;324;230;119;69;45;52;40;29;13;3;0,00;0,00;0,0015;0,0047;0,0367;0,1014;0,1389;0,1501;0,1167;0,1141;0,1178;0,0836;0,0433;0,0251;0,0164;0,0189;0,0145;0,0105;0,0047;0,0011
N76;Sonstige entzündliche Krankheit der Vagina und Vulva;6505;3,7674;7,9666;23;83;56;91;396;557;573;526;479;502;648;493;363;274;241;309;345;257;190;99;0,0035;0,0128;0,0086;0,014;0,0609;0,0856;0,0881;0,0809;0,0736;0,0772;0,0996;0,0758;0,0558;0,0421;0,037;0,0475;0,053;0,0395;0,0292;0,0152
N77;Vulvovaginale Ulzeration und Entzündung bei anderenorts klassifizierten Krankheiten;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
N80;Endometriose;22282;3,4971;2,8718;0;0;0;8;378;1578;3063;3757;3797;4026;3582;1436;291;155;80;74;32;18;6;1;0,00;0,00;0,00;0,0004;0,017;0,0708;0,1375;0,1686;0,1704;0,1807;0,1608;0,0644;0,0131;0,007;0,0036;0,0033;0,0014;0,0008;0,0003;0,00
N81;Genitalprolaps bei der Frau;42890;6,1808;3,6238;0;0;0;0;3;20;67;234;573;1213;2624;4036;4979;5803;5413;7619;6531;2594;954;227;0,00;0,00;0,00;0,00;0,0001;0,0005;0,0016;0,0055;0,0134;0,0283;0,0612;0,0941;0,1161;0,1353;0,1262;0,1776;0,1523;0,0605;0,0222;0,0053
N82;Fisteln mit Beteiligung des weiblichen Genitaltraktes;2796;10,7761;11,9442;3;3;4;4;11;31;95;120;154;243;304;339;258;196;169;278;292;170;90;32;0,0011;0,0011;0,0014;0,0014;0,0039;0,0111;0,034;0,0429;0,0551;0,0869;0,1087;0,1212;0,0923;0,0701;0,0604;0,0994;0,1044;0,0608;0,0322;0,0114
N83;Nichtentzündliche Krankheiten des Ovars, der Tuba uterina und des Lig. latum uteri;40832;2,7495;2,3147;63;25;40;1258;4020;4942;5162;4537;3905;4128;4657;2789;1369;1171;863;976;588;237;85;17;0,0015;0,0006;0,001;0,0308;0,0985;0,121;0,1264;0,1111;0,0956;0,1011;0,1141;0,0683;0,0335;0,0287;0,0211;0,0239;0,0144;0,0058;0,0021;0,0004
N84;Polyp des weiblichen Genitaltraktes;10499;1,699;1,9285;3;2;5;2;2;31;84;196;268;564;939;1130;1116;1274;1150;1431;1325;638;271;68;0,0003;0,0002;0,0005;0,0002;0,0002;0,003;0,008;0,0187;0,0255;0,0537;0,0894;0,1076;0,1063;0,1213;0,1095;0,1363;0,1262;0,0608;0,0258;0,0065
N85;Sonstige nichtentzündliche Krankheiten des Uterus, ausgenommen der Zervix;9619;2,9195;3,09;0;0;0;9;40;86;151;285;464;834;1483;1439;875;802;673;927;862;434;209;46;0,00;0,00;0,00;0,0009;0,0042;0,0089;0,0157;0,0296;0,0482;0,0867;0,1542;0,1496;0,091;0,0834;0,07;0,0964;0,0896;0,0451;0,0217;0,0048
N86;Erosion und Ektropium der Cervix uteri;162;1,9383;1,7926;0;0;0;0;1;18;28;29;17;24;17;7;0;7;3;3;5;2;1;0;0,00;0,00;0,00;0,00;0,0062;0,1111;0,1728;0,179;0,1049;0,1481;0,1049;0,0432;0,00;0,0432;0,0185;0,0185;0,0309;0,0123;0,0062;0,00
N87;Dysplasie der Cervix uteri;4180;2,3833;2,0933;0;0;0;0;10;152;547;612;543;617;608;419;216;161;94;86;80;23;8;4;0,00;0,00;0,00;0,00;0,0024;0,0364;0,1309;0,1464;0,1299;0,1476;0,1455;0,1002;0,0517;0,0385;0,0225;0,0206;0,0191;0,0055;0,0019;0,001
N88;Sonstige nichtentzündliche Krankheiten der Cervix uteri;719;2,4228;2,8006;0;0;0;5;17;42;80;93;76;59;59;62;32;33;32;51;43;24;8;3;0,00;0,00;0,00;0,007;0,0236;0,0584;0,1113;0,1293;0,1057;0,0821;0,0821;0,0862;0,0445;0,0459;0,0445;0,0709;0,0598;0,0334;0,0111;0,0042
N89;Sonstige nichtentzündliche Krankheiten der Vagina;1929;2,6236;2,89;8;16;7;58;113;109;170;155;125;141;163;183;140;122;91;127;97;44;40;20;0,0041;0,0083;0,0036;0,0301;0,0586;0,0565;0,0881;0,0804;0,0648;0,0731;0,0845;0,0949;0,0726;0,0632;0,0472;0,0658;0,0503;0,0228;0,0207;0,0104
N90;Sonstige nichtentzündliche Krankheiten der Vulva und des Perineums;3028;1,9934;3,1245;9;7;11;29;159;229;331;250;196;185;211;234;174;193;163;204;211;137;69;26;0,003;0,0023;0,0036;0,0096;0,0525;0,0756;0,1093;0,0826;0,0647;0,0611;0,0697;0,0773;0,0575;0,0637;0,0538;0,0674;0,0697;0,0452;0,0228;0,0086
N91;Ausgebliebene, zu schwache oder zu seltene Menstruation;82;2,1829;2,1553;0;0;0;6;13;15;14;13;7;11;3;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,0732;0,1585;0,1829;0,1707;0,1585;0,0854;0,1341;0,0366;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
N92;Zu starke, zu häufige oder unregelmäßige Menstruation;18494;2,8894;2,3151;0;0;1;134;264;341;542;1100;2206;4393;5874;3249;338;34;4;8;3;1;2;0;0,00;0,00;0,0001;0,0072;0,0143;0,0184;0,0293;0,0595;0,1193;0,2375;0,3176;0,1757;0,0183;0,0018;0,0002;0,0004;0,0002;0,0001;0,0001;0,00
N93;Sonstige abnorme Uterus- oder Vaginalblutung;2647;2,5848;2,7416;8;11;16;16;80;141;199;228;240;353;392;260;81;54;52;86;104;115;113;98;0,003;0,0042;0,006;0,006;0,0302;0,0533;0,0752;0,0861;0,0907;0,1334;0,1481;0,0982;0,0306;0,0204;0,0196;0,0325;0,0393;0,0434;0,0427;0,037
N94;Schmerz und andere Zustände im Zusammenhang mit den weiblichen Genitalorganen und dem Menstruationszyklus;4747;2,0103;1,7626;0;2;2;346;1110;858;530;469;429;403;352;142;31;24;12;16;11;8;2;0;0,00;0,0004;0,0004;0,0729;0,2338;0,1807;0,1116;0,0988;0,0904;0,0849;0,0742;0,0299;0,0065;0,0051;0,0025;0,0034;0,0023;0,0017;0,0004;0,00
N95;Klimakterische Störungen;7055;2,1828;2,6921;0;0;0;0;0;0;1;1;2;26;199;849;1013;935;748;943;1000;677;456;205;0,00;0,00;0,00;0,00;0,00;0,00;0,0001;0,0001;0,0003;0,0037;0,0282;0,1203;0,1436;0,1325;0,106;0,1337;0,1417;0,096;0,0646;0,0291
N96;Neigung zu habituellem Abort;17;1,4706;0,9432;0;0;0;0;0;1;3;7;3;3;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,0588;0,1765;0,4118;0,1765;0,1765;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
N97;Sterilität der Frau;3014;1,5909;1,1917;0;0;0;0;2;197;755;1095;753;201;11;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,0007;0,0654;0,2505;0,3633;0,2498;0,0667;0,0036;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
